Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bolduc Olivier Q.S.;Cloutier Benoit É.A.P. - P.C.Q.;Gagné Dave P.S.P.;Lévesque-Morin Alexis O.N. - P.I.Q.;Paré Catherine P.Q.;Picard Marc C.A.Q.-É.F.L.;Vaillancourt Ghyslain P.L.Q./Q.L.P.;B.V.;B.R.;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;3;;24;310;6;1;2;4;28;97;56;194;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;3;;25;279;5;1;3;0;13;83;44;149;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;3;;26;304;8;5;1;0;11;95;52;172;3;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;3;;27;312;5;6;4;2;9;105;42;173;4;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;3;;28;353;7;1;1;1;27;84;51;172;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;3;;29;311;8;3;1;3;8;109;52;184;4;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;3;;30;300;9;2;0;0;11;87;55;164;3;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;3;;31;379;5;6;0;2;16;150;67;246;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;3;;32;326;17;1;2;1;22;96;55;194;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;4;;33;298;1;4;1;0;18;95;60;179;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;4;;34;325;5;5;1;0;27;138;46;222;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;4;;35;312;2;4;3;0;24;123;43;199;3;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;4;;36;306;9;3;1;2;10;103;58;186;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;4;;37;328;7;6;1;1;17;118;45;195;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;4;;38;317;4;1;1;3;8;88;55;160;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;4;;39;293;9;0;1;0;18;64;57;149;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;4;;40;282;4;5;1;2;17;91;39;159;4;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;4;;41;339;7;1;1;4;25;101;53;192;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;4;;42;312;5;0;0;1;17;91;57;171;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;4;;43;304;5;4;3;0;20;86;48;166;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;5;;44A;255;3;6;0;1;7;101;47;165;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;5;;44B;325;13;3;1;0;13;120;60;210;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;5;;45A;253;6;1;3;0;13;99;39;161;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;5;;45B;188;6;1;2;0;13;58;37;117;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;5;;46;319;8;2;0;3;25;84;49;171;4;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;5;;47;315;4;2;2;1;19;86;51;165;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;5;;48;304;6;3;1;0;26;96;52;184;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;5;;49;296;1;3;1;0;17;96;68;186;3;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;5;;50;317;2;6;1;0;17;85;62;173;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;5;;51;317;9;1;1;0;8;94;57;170;3;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;5;;52;308;8;2;0;0;21;94;41;166;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;5;;53;305;9;4;1;1;19;72;55;161;3;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;5;;54;304;10;3;2;2;18;61;41;137;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;5;;55;280;16;0;2;0;23;100;39;180;3;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;5;;56;308;15;6;0;0;28;87;23;159;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;6;;57;285;14;1;2;1;16;84;36;154;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;6;;58;296;11;2;1;3;28;68;42;155;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;6;;59;284;15;1;2;0;20;89;36;163;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;6;;60;255;7;2;0;0;14;61;40;124;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;6;;61;259;4;1;4;0;11;82;36;138;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;6;;62;295;8;3;0;2;19;94;56;182;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;7;;63;242;5;5;2;0;14;65;42;133;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;7;;64;275;3;0;0;0;23;57;45;128;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;7;;65;275;6;0;2;2;29;83;31;153;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;7;;66;271;6;1;0;0;18;87;31;143;0;
