Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Charbonneau Patrice C.A.Q.-É.F.L.;Dubois Armand P.L.Q./Q.L.P.;Lemay-Thivierge Vincent Q.S.;Morin Bruno É.A.P. - P.C.Q.;Péladeau Pierre Karl P.Q.;Trottier-Kavanagh Mathieu O.N. - P.I.Q.;B.V.;B.R.;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;6;;52;259;18;10;14;0;27;2;71;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;7;;53;324;38;23;27;1;47;1;137;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;7;;54;320;55;17;13;0;38;1;124;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;7;;55;313;32;22;12;0;65;1;132;7;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;7;;56;298;32;11;23;1;49;0;116;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;7;;57;302;53;31;6;0;36;1;127;6;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;7;;58;285;42;27;13;2;56;1;141;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;7;;59;308;46;41;22;1;36;1;147;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;7;;60;368;32;9;14;2;37;1;95;4;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;8;;61;303;23;14;12;0;44;0;93;4;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;8;;62;313;58;18;10;0;61;4;151;7;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;8;;63;341;42;34;19;0;60;0;155;5;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;8;;64;355;31;23;21;1;65;1;142;0;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;8;;65;323;41;30;16;0;35;0;122;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;9;;66;276;39;28;15;1;56;1;140;5;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;9;;67;248;43;23;18;1;51;0;136;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;9;;68;263;39;28;7;0;36;0;110;0;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;9;;69;279;37;27;6;1;29;3;103;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;9;;70;397;80;29;16;0;66;0;191;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;10;;71;413;59;68;4;0;66;1;198;1;
