Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bourgeois Guy P.L.Q./Q.L.P.;Dufour Valérie Q.S.;Larouche Élizabeth P.Q.;Martel Sylvain C.A.Q.-É.F.L.;Perron-Tellier Maxym É.A.P. - P.C.Q.;Trudel Richard O.N. - P.I.Q.;B.V.;B.R.;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;3;;22;356;64;19;50;54;6;0;193;10;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;3;;23;271;65;11;43;22;1;0;142;2;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;3;;24;387;67;16;53;44;1;0;181;6;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;3;;25A;243;41;10;24;42;1;0;118;5;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;3;;25B;242;54;6;10;25;1;0;96;9;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;3;;26;320;62;13;38;41;2;2;158;3;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;4;;27A;340;100;8;49;45;1;1;204;5;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;4;;27B;250;54;5;56;28;1;0;144;5;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;4;;28;305;48;7;50;43;2;1;151;13;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;4;;29A;224;46;13;29;35;3;6;132;3;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;4;;29B;272;39;8;33;40;1;1;122;5;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;4;;30;362;70;17;60;54;1;2;204;8;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;4;;31;322;70;15;65;35;0;2;187;2;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;4;;32A;189;43;7;23;17;2;0;92;4;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;4;;32B;275;89;5;28;27;0;1;150;6;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;4;;33;267;45;10;28;26;2;5;116;8;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;4;;34;296;47;12;26;38;1;2;126;3;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;5;;35;271;29;6;26;20;0;1;82;3;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;5;Regr. BVO-37;36;0;0;0;0;0;0;0;0;0;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;5;;37;353;17;3;19;21;0;0;60;1;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;5;;38;281;59;11;36;25;1;0;132;0;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;5;;39;249;63;4;30;34;1;3;135;9;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;5;;40;302;57;6;35;24;2;2;126;5;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;5;;41;333;51;10;37;39;0;3;140;0;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;5;;42;202;44;7;27;24;0;1;103;0;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;6;;43;450;44;9;56;43;0;3;155;1;
