Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Charpentier Stéphanie Q.S.;Colly Garnet P.M.L.Q.;Harnois Joanie P.Q.;Miscione Melissa P.V.Q./G.P.Q.;Parent Mario C.A.Q.-É.F.L.;Rotiroti Filomena P.L.Q./Q.L.P.;B.V.;B.R.;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;300;;23;375;5;0;20;5;16;178;224;3;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;300;;24;407;3;0;18;4;17;163;205;3;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;300;;25;370;5;0;13;0;12;165;195;1;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;300;;26;381;15;0;23;1;15;198;252;6;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;301;;27;396;9;0;19;5;11;201;245;3;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;301;;28;380;7;0;12;2;20;180;221;26;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;301;;29;395;10;0;17;3;25;202;257;1;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;301;;30;390;5;0;20;4;12;212;253;2;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;301;;31;375;4;0;18;2;24;192;240;3;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;301;;32;400;6;0;15;4;7;187;219;3;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;301;;33;412;8;0;20;0;36;202;266;2;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;301;;34;393;5;0;22;6;19;218;270;0;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;301;;35;402;7;1;23;3;19;176;229;1;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;301;;36;375;3;0;15;1;12;169;200;0;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;301;;37;386;10;1;18;0;31;150;210;5;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;301;;38;420;3;0;19;3;27;180;232;4;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;302;;39;392;2;0;7;2;16;186;213;3;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;302;;40;360;4;0;13;1;21;178;217;2;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;302;;41;376;8;0;28;5;19;168;228;0;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;302;;42;405;11;2;14;4;20;186;237;6;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;302;;43;365;3;0;14;5;25;177;224;3;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;302;;44;415;6;0;26;0;22;166;220;6;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;302;;45;408;9;0;9;3;11;203;235;2;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;302;;46;419;8;1;18;1;11;181;220;3;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;302;;47;389;8;0;16;2;18;186;230;1;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;302;;48;404;14;0;18;2;8;176;218;2;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;302;;49;388;5;1;20;3;15;175;219;2;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;302;;50;402;4;0;26;2;18;194;244;0;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;302;;51;309;9;0;21;2;17;135;184;1;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;302;;52;383;6;2;29;3;31;162;233;3;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;302;;53;417;3;0;21;5;17;236;282;4;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;302;;54;379;7;0;26;6;12;199;250;1;
