Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dagenais Alexandre É.A.P. - P.C.Q.;Héroux Hélène P.M.L.Q.;Laramée Christian Q.S.;Leftakis Denis C.A.Q.-É.F.L.;Moreau Robert O.N. - P.I.Q.;Pellerin Jean Paul P.L.Q./Q.L.P.;Therrien Alain P.Q.;B.V.;B.R.;
177;Sanguinet;2014-04-07;G;Saint-Rémi, v;1;;62;392;2;0;11;113;3;39;58;226;1;
177;Sanguinet;2014-04-07;G;Saint-Rémi, v;1;;63;315;0;1;3;61;4;30;36;135;5;
177;Sanguinet;2014-04-07;G;Saint-Rémi, v;1;;64;369;1;1;15;68;2;25;74;186;2;
177;Sanguinet;2014-04-07;G;Saint-Rémi, v;1;;65A;266;0;0;4;84;2;29;42;161;3;
177;Sanguinet;2014-04-07;G;Saint-Rémi, v;1;;65B;208;0;1;8;39;2;24;25;99;3;
177;Sanguinet;2014-04-07;G;Saint-Rémi, v;1;;66;300;1;0;7;46;6;34;49;143;4;
177;Sanguinet;2014-04-07;G;Saint-Rémi, v;1;;67;346;0;1;8;55;4;27;53;148;3;
177;Sanguinet;2014-04-07;G;Saint-Rémi, v;1;;68;350;0;0;9;52;4;20;34;119;8;
177;Sanguinet;2014-04-07;G;Saint-Rémi, v;1;Regr. BVO-68;69;0;0;0;0;0;0;0;0;0;0;
177;Sanguinet;2014-04-07;G;Saint-Rémi, v;1;;70;349;2;3;7;54;2;30;46;144;3;
177;Sanguinet;2014-04-07;G;Saint-Rémi, v;1;;71A;264;1;0;8;36;2;30;37;114;4;
177;Sanguinet;2014-04-07;G;Saint-Rémi, v;1;;71B;252;0;0;6;37;1;24;30;98;2;
177;Sanguinet;2014-04-07;G;Saint-Rémi, v;1;;72;305;2;0;8;46;5;31;34;126;2;
177;Sanguinet;2014-04-07;G;Sainte-Catherine, v;1;;73;352;1;0;7;38;1;29;75;151;3;
177;Sanguinet;2014-04-07;G;Sainte-Catherine, v;1;;74;342;1;0;10;61;1;30;62;165;5;
177;Sanguinet;2014-04-07;G;Sainte-Catherine, v;1;;75;405;0;0;6;58;0;42;83;189;7;
177;Sanguinet;2014-04-07;G;Sainte-Catherine, v;1;;76;353;1;1;12;57;1;33;76;181;8;
177;Sanguinet;2014-04-07;G;Sainte-Catherine, v;1;;77;354;2;1;14;70;1;31;70;189;7;
177;Sanguinet;2014-04-07;G;Sainte-Catherine, v;1;;78;385;3;0;13;85;1;37;72;211;5;
177;Sanguinet;2014-04-07;G;Sainte-Catherine, v;1;;79;362;3;0;18;101;3;33;64;222;8;
177;Sanguinet;2014-04-07;G;Sainte-Catherine, v;2;;80;411;1;0;17;64;3;42;57;184;6;
177;Sanguinet;2014-04-07;G;Sainte-Catherine, v;2;;81;416;3;0;15;62;4;63;90;237;8;
177;Sanguinet;2014-04-07;G;Sainte-Catherine, v;2;;82;355;1;0;8;59;2;42;75;187;4;
