Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bouchaala Zoubir C.A.Q.-É.F.L.;Drouin Myriam O.N. - P.I.Q.;Emond Alexandre Q.S.;Leboeuf-McGregor Richard P.Q.;Poeti Robert P.L.Q./Q.L.P.;Stevenson Stéphanie P.V.Q./G.P.Q.;B.V.;B.R.;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;55;;18;295;25;2;12;43;92;2;176;3;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;55;;19;322;36;2;10;55;91;3;197;4;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;55;;20;315;30;0;18;53;89;6;196;2;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;55;;21;330;37;1;14;36;118;4;210;8;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;56;;22;339;28;0;10;14;114;3;169;3;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;56;;23;373;23;0;8;25;145;4;205;0;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;56;;24;350;29;0;9;37;139;3;217;1;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;56;;25;360;19;0;13;25;158;5;220;3;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;56;;26;335;16;1;6;27;118;2;170;2;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;56;;27;355;12;0;9;23;158;1;203;4;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;57;;28;368;15;3;4;17;138;2;179;0;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;57;;29;376;16;2;5;24;179;6;232;1;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;57;;30;398;19;0;6;35;188;5;253;0;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;57;;31;400;27;2;20;34;147;1;231;4;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;57;;32;397;25;0;11;44;148;6;234;0;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;57;;33;382;41;1;8;35;166;2;253;1;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;57;;34;415;19;1;11;23;155;6;215;1;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;57;;35;424;25;0;5;27;210;2;269;1;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;57;;36;387;13;2;9;22;174;8;228;2;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;57;;37;388;21;2;7;16;213;2;261;1;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;57;;38;381;11;0;2;10;206;5;234;1;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;57;;39;420;17;0;2;20;179;4;222;6;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;58;;40;404;12;1;8;21;193;1;236;2;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;58;;41;411;16;1;5;26;216;4;268;2;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;58;;42;403;24;0;0;14;213;3;254;3;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;58;;43;396;16;0;8;22;169;6;221;3;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;58;;44;385;17;0;9;21;200;5;252;0;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;58;;45;389;13;1;5;12;193;1;225;4;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;58;;46;395;19;0;12;22;170;3;226;3;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;58;;47;353;16;0;8;13;157;3;197;2;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;58;;48A;241;11;0;0;3;113;2;129;0;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;58;;48B;189;7;0;3;7;69;3;89;0;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;58;;49;371;12;0;3;8;191;3;217;0;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;58;;50;405;16;0;4;20;184;3;227;1;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;58;;51;357;17;1;4;20;179;1;222;2;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;58;;52;368;28;2;2;25;168;6;231;3;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;58;;53;365;10;1;3;10;162;4;190;1;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;58;;54;390;13;1;4;11;223;2;254;1;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;59;;55;392;16;0;3;8;222;5;254;3;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;59;;56A;213;8;0;1;11;95;0;115;2;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;59;;56B;273;11;0;4;9;131;1;156;0;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;59;;57;397;4;1;4;13;216;5;243;1;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;59;;58;391;25;1;7;17;195;7;252;2;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;59;;59;421;10;1;6;23;211;8;259;1;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;59;;60;369;13;1;2;15;186;3;220;0;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;59;;61;365;18;2;3;14;184;4;225;1;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;59;;62;382;19;1;5;17;206;2;250;3;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;59;;63;390;16;2;4;19;192;1;234;3;
399;Marguerite-Bourgeoys;2014-04-07;G;Montréal, v;59;;64;369;17;0;3;15;190;9;234;4;
