Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauchamp Jonathan O.N. - P.I.Q.;Gagné Christine P.N.;Iraca Alexandre P.L.Q./Q.L.P.;Langelier René C.A.Q.-É.F.L.;Primeau Jean-Francois P.Q.;Sarazin Marc Q.S.;B.V.;B.R.;
553;Papineau;2014-04-07;G;Gatineau, v;48;;22;309;1;0;86;28;24;18;157;1;
553;Papineau;2014-04-07;G;Gatineau, v;48;;23A;304;0;3;57;28;13;17;118;1;
553;Papineau;2014-04-07;G;Gatineau, v;48;;23B;317;0;8;62;19;22;4;115;1;
553;Papineau;2014-04-07;G;Gatineau, v;48;;24;253;0;3;49;18;21;8;99;1;
553;Papineau;2014-04-07;G;Gatineau, v;48;;25;290;0;0;72;33;20;9;134;0;
553;Papineau;2014-04-07;G;Gatineau, v;48;;26;299;3;1;58;26;27;12;127;2;
553;Papineau;2014-04-07;G;Gatineau, v;48;;27;296;0;5;73;23;25;8;134;2;
553;Papineau;2014-04-07;G;Gatineau, v;48;;28;297;0;4;77;29;17;9;136;3;
553;Papineau;2014-04-07;G;Gatineau, v;48;;29;314;0;5;96;24;27;8;160;1;
553;Papineau;2014-04-07;G;Gatineau, v;48;;30;292;0;5;88;23;30;13;159;1;
553;Papineau;2014-04-07;G;Gatineau, v;48;;31;316;0;2;88;35;27;10;162;2;
553;Papineau;2014-04-07;G;Gatineau, v;49;;32A;369;0;2;111;45;36;10;204;2;
553;Papineau;2014-04-07;G;Gatineau, v;49;;32B;389;2;2;121;50;30;14;219;2;
553;Papineau;2014-04-07;G;Gatineau, v;49;;33;259;0;3;82;20;27;13;145;2;
553;Papineau;2014-04-07;G;Gatineau, v;49;;34;311;2;3;84;27;27;18;161;5;
553;Papineau;2014-04-07;G;Gatineau, v;49;;35;290;0;3;79;27;21;6;136;4;
553;Papineau;2014-04-07;G;Gatineau, v;49;;36;285;0;2;74;25;31;15;147;1;
553;Papineau;2014-04-07;G;Gatineau, v;49;;37;283;0;5;90;20;36;17;168;2;
553;Papineau;2014-04-07;G;Gatineau, v;49;;38;280;2;0;53;29;25;8;117;2;
553;Papineau;2014-04-07;G;Gatineau, v;49;;39;281;0;3;61;20;27;9;120;4;
553;Papineau;2014-04-07;G;Gatineau, v;49;;40;254;1;1;88;16;34;11;151;0;
553;Papineau;2014-04-07;G;Gatineau, v;49;;41;273;1;2;61;25;23;3;115;1;
553;Papineau;2014-04-07;G;Gatineau, v;49;;42;318;0;2;53;27;38;4;124;3;
553;Papineau;2014-04-07;G;Gatineau, v;49;;43;273;0;2;48;20;25;13;108;6;
553;Papineau;2014-04-07;G;Gatineau, v;50;;44;369;0;2;57;22;33;5;119;0;
553;Papineau;2014-04-07;G;Gatineau, v;50;;45;248;0;2;40;13;25;5;85;1;
553;Papineau;2014-04-07;G;Gatineau, v;50;;46;268;0;1;30;16;13;8;68;0;
553;Papineau;2014-04-07;G;Gatineau, v;50;;47;255;0;2;46;15;23;7;93;2;
