Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bolduc Vincent C.A.Q.-É.F.L.;Bureau-Blouin Léo P.Q.;Chatel-Launay Nicolas Q.S.;McKenna Léo P.V.Q./G.P.Q.;Polo Saul P.L.Q./Q.L.P.;Voyer David O.N. - P.I.Q.;B.V.;B.R.;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;41;;30;354;41;55;10;0;107;0;213;1;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;42;;31;377;45;90;14;2;80;1;232;4;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;42;;32;397;48;63;25;1;124;1;262;6;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;42;;33;389;31;65;16;2;127;1;242;2;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;42;;34;403;34;67;11;6;118;0;236;4;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;42;;35;377;34;63;14;5;110;1;227;3;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;42;;36;692;48;75;14;3;110;1;251;5;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;42;;37;376;47;85;14;2;100;2;250;3;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;43;;38;382;46;85;15;3;79;1;229;3;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;43;;39;384;43;77;22;2;53;2;199;4;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;43;;40;399;45;91;18;2;55;3;214;2;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;43;;41;384;41;67;16;8;116;0;248;4;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;43;;42;386;54;80;23;3;84;0;244;6;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;43;;43;383;34;79;10;4;117;1;245;3;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;43;;44;383;37;59;5;4;101;1;207;2;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;43;;45;382;49;76;25;1;91;1;243;1;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;44;;46;358;33;58;14;4;81;1;191;2;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;44;;47;360;48;49;13;7;53;1;171;3;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;44;;48;368;47;63;11;2;91;0;214;2;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;44;;49A;222;18;27;12;1;64;1;123;1;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;44;;49B;252;23;20;5;2;39;1;90;0;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;44;;50;374;49;63;15;5;61;1;194;4;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;44;;51;398;36;88;12;2;61;3;202;2;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;44;;52;386;26;60;9;5;50;1;151;0;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;44;;53;372;44;71;11;6;31;4;167;3;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;45;;54;386;53;44;11;3;78;2;191;6;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;45;;55;385;40;58;5;1;102;0;206;5;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;45;;56;389;30;38;15;0;120;1;204;4;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;45;;57;368;35;43;14;4;116;1;213;1;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;45;;58;388;36;51;17;2;95;0;201;1;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;45;;59;391;52;61;7;6;74;0;200;5;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;45;;60;404;55;56;12;2;75;0;200;2;
