Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arsenault Damien P.L.Q./Q.L.P.;Chartier Patricia Q.S.;Dubois Patrick P.N.;Landry Jean-Marc C.A.Q.-É.F.L.;Roy Sylvain P.Q.;St-Pierre Louis-Patrick O.N. - P.I.Q.;B.V.;B.R.;
713;Bonaventure;2014-04-07;G;New Carlisle, m;1;;82;300;118;6;2;6;32;2;166;1;
713;Bonaventure;2014-04-07;G;Paspébiac, v;1;;83;336;51;2;2;1;85;0;141;3;
713;Bonaventure;2014-04-07;G;Paspébiac, v;1;;84;338;36;3;0;4;95;0;138;2;
713;Bonaventure;2014-04-07;G;Paspébiac, v;1;;85;293;36;2;1;1;81;0;121;1;
713;Bonaventure;2014-04-07;G;Paspébiac, v;1;;86;328;41;5;1;2;86;0;135;1;
713;Bonaventure;2014-04-07;G;Paspébiac, v;1;;87;293;23;1;0;1;60;0;85;0;
713;Bonaventure;2014-04-07;G;Paspébiac, v;1;;88;306;41;1;2;3;75;0;122;0;
713;Bonaventure;2014-04-07;G;Paspébiac, v;1;;89;333;56;0;2;3;67;0;128;3;
713;Bonaventure;2014-04-07;G;Paspébiac, v;1;;90;296;31;3;0;2;56;1;93;0;
713;Bonaventure;2014-04-07;G;Paspébiac, v;1;;91;285;59;2;0;2;47;0;110;0;
713;Bonaventure;2014-04-07;G;Hope, ct;1;;92;251;73;1;0;1;58;1;134;2;
713;Bonaventure;2014-04-07;G;Hope, ct;1;;93;220;40;2;0;1;51;1;95;0;
713;Bonaventure;2014-04-07;G;Hope, ct;1;;94;87;22;4;0;3;26;0;55;1;
713;Bonaventure;2014-04-07;G;Hope Town, m;1;;95;280;146;1;0;3;42;1;193;1;
713;Bonaventure;2014-04-07;G;Saint-Godefroi, ct;1;;96;336;82;17;1;5;103;0;208;2;
713;Bonaventure;2014-04-07;G;Shigawake, m;1;;97;295;137;7;1;3;29;0;177;2;
713;Bonaventure;2014-04-07;G;Port-Daniel--Gascons, m;1;;98;289;126;2;3;0;33;1;165;0;
713;Bonaventure;2014-04-07;G;Port-Daniel--Gascons, m;1;;99;300;43;0;0;6;85;0;134;0;
713;Bonaventure;2014-04-07;G;Port-Daniel--Gascons, m;1;;100;306;21;0;1;2;91;0;115;0;
713;Bonaventure;2014-04-07;G;Port-Daniel--Gascons, m;1;;101;325;25;4;0;0;114;0;143;0;
713;Bonaventure;2014-04-07;G;Port-Daniel--Gascons, m;1;;102;276;22;0;0;1;115;0;138;0;
