Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blanchette Luc P.L.Q./Q.L.P.;Chapadeau Gilles P.Q.;Dallaire Ghislain O.N. - P.I.Q.;Flebus Bernard C.A.Q.-É.F.L.;Leclerc Guy Q.S.;B.V.;B.R.;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;12;;110;305;38;52;0;25;19;134;4;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;12;;111;302;35;39;5;27;18;124;6;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;12;;112;265;41;37;2;23;17;120;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;12;;113;338;94;52;1;32;14;193;0;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;12;;114;301;51;36;2;20;12;121;3;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;13;;115;368;74;31;1;32;17;155;6;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;13;;116;289;60;39;0;30;17;146;4;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;13;;117;267;54;49;1;33;15;152;6;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;13;;118;271;37;55;1;17;21;131;3;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;13;;119;309;44;61;3;29;20;157;0;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;13;;120;314;34;45;1;25;23;128;5;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;13;;121;545;58;43;1;27;27;156;0;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;13;;122;299;36;31;0;11;10;88;4;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;14;;123;252;24;30;2;15;30;101;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;14;;124;307;32;28;4;27;24;115;6;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;14;;125;278;25;40;4;19;14;102;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;14;;126;255;39;34;2;26;22;123;4;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;14;;127;265;28;44;1;28;25;126;1;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;14;;128;242;27;18;1;18;5;69;1;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;14;;129;268;38;33;3;17;6;97;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;15;;130;269;51;47;0;11;15;124;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;15;;131;263;63;52;1;16;23;155;3;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;15;;132;260;46;54;0;24;14;138;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;15;;133;299;65;37;0;13;22;137;5;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;15;;134;302;64;40;0;13;18;135;4;
