Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dean Marc P.Q.;Fillion Mathieu O.N. - P.I.Q.;Huot Patrick P.L.Q./Q.L.P.;Lévesque Sylvain C.A.Q.-É.F.L.;Martin Jean-Alex É.A.P. - P.C.Q.;Voisine Monique Q.S.;B.V.;B.R.;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;21A;228;8;0;48;28;1;1;86;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;21B;234;11;0;43;59;6;5;124;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;22A;263;8;0;59;47;1;1;116;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;22B;158;9;0;27;41;1;1;79;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;23A;390;30;1;87;88;2;4;212;4;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;23B;417;31;1;90;67;2;6;197;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;23C;403;27;3;78;55;1;12;176;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;24;318;26;3;62;83;3;9;186;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;25;330;27;5;50;80;3;6;171;6;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;26;304;32;2;59;56;0;10;159;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;27;293;26;2;66;61;2;8;165;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;28;284;20;0;54;68;5;9;156;4;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;29;298;14;3;55;53;7;10;142;4;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;30;297;18;2;50;70;2;7;149;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;84;;31;282;16;3;53;47;0;2;121;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;32A;199;17;1;41;42;1;5;107;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;32B;225;15;0;55;36;1;2;109;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;33;299;19;0;68;51;3;4;145;4;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;34;306;11;2;53;86;1;4;157;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;35;496;29;2;43;54;4;7;139;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;36;290;22;1;51;66;4;10;154;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;37;321;21;1;61;62;1;5;151;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;38;286;17;0;68;50;2;6;143;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;39;301;31;0;63;62;2;3;161;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;40;508;13;0;55;30;2;4;104;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;41;289;11;0;55;43;1;3;113;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;42;291;23;0;59;37;1;8;128;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;43;313;22;0;57;53;2;4;138;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;44;299;16;3;72;68;2;14;175;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;45;294;27;0;55;42;3;5;132;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;46;293;23;1;45;31;3;9;112;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;47;307;19;1;66;47;0;7;140;5;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;48;312;17;5;59;56;3;8;148;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;49;264;20;3;47;52;4;9;135;4;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;50;318;23;1;55;60;3;8;150;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;51;319;22;0;51;75;3;6;157;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;52;320;21;2;59;62;5;12;161;4;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;53;303;22;2;55;63;0;5;147;1;
