Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Belley Jean-François Q.S.;Deguire Denis C.A.Q.-É.F.L.;Desroches Laurence P.Q.;Fortier Louis-Charles É.A.P. - P.C.Q.;Kelley Geoffrey P.L.Q./Q.L.P.;Maynard James P.V.Q./G.P.Q.;B.V.;B.R.;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;3;;33;378;4;16;12;4;195;3;234;0;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;4;;34;385;0;21;3;1;215;8;248;1;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;4;;35;399;2;12;3;1;223;6;247;0;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;4;;36;381;3;18;6;1;177;7;212;1;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;4;;37;388;4;17;2;1;202;5;231;0;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;4;;38;384;5;9;5;1;207;1;228;0;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;4;;39;379;2;18;7;2;200;2;231;1;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;5;;40;358;5;12;4;1;156;11;189;1;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;5;;41;347;6;16;7;0;145;6;180;1;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;5;;42;347;5;20;2;1;178;8;214;0;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;5;;43;357;4;10;4;2;141;8;169;1;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;5;;44;370;1;17;3;1;167;6;195;1;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;6;;45;353;6;24;11;1;171;4;217;0;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;6;;46;363;5;10;6;1;209;7;238;0;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;6;;47;384;3;13;6;0;179;3;204;0;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;6;;48;367;8;31;10;4;145;6;204;3;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;6;;49;377;17;10;16;1;191;17;252;2;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;6;;50;379;14;18;4;3;207;16;262;1;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;7;;51;362;5;11;1;0;182;3;202;1;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;7;;52;385;2;9;6;0;174;2;193;0;
409;Jacques-Cartier;2014-04-07;G;Beaconsfield, v;7;;53;377;2;10;1;3;227;2;245;0;
