Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cameron Duncan Hart Q.S.;Cauchon Louis-Félix O.N. - P.I.Q.;Charette Benoit C.A.Q.-É.F.L.;Goyer Daniel P.Q.;Leclerc Luc P.L.Q./Q.L.P.;Ware Alec P.Éq.;B.V.;B.R.;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;2;;22;314;11;2;80;48;35;3;179;3;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;2;;23;299;19;0;78;35;50;1;183;4;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;2;;24;304;15;1;54;42;66;0;178;2;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;2;;25;322;13;2;42;45;59;2;163;2;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;3;;26;318;14;2;54;30;46;5;151;1;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;3;;27;315;13;0;45;39;58;1;156;0;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;3;;28;285;13;2;28;40;54;2;139;5;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;3;;29;285;12;4;56;45;30;1;148;5;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;3;;30;333;12;0;48;49;45;5;159;6;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;3;;31;294;12;1;52;38;46;3;152;5;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;3;;32;294;17;1;47;39;40;4;148;1;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;4;;33;298;14;1;38;44;51;0;148;6;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;4;;34;304;14;2;46;48;55;2;167;0;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;4;;35;310;7;0;27;33;57;0;124;3;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;4;;36;318;8;2;42;35;68;3;158;4;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;4;;37;282;17;2;38;59;38;3;157;2;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;4;;38;290;13;1;37;58;39;0;148;1;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;4;;39;289;18;1;47;31;50;0;147;0;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;4;;40;308;18;1;36;27;63;0;145;3;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;4;;41;244;14;0;37;25;41;1;118;1;
483;Deux-Montagnes;2014-04-07;G;Deux-Montagnes, v;4;;42;346;11;0;55;42;53;4;165;8;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;1;;43;322;15;3;66;67;30;2;183;2;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;1;;44;336;16;1;53;58;40;2;170;4;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;1;;45;328;18;0;68;56;35;1;178;9;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;1;;46;310;8;0;41;48;13;1;111;8;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;1;;47;352;14;2;74;60;18;0;168;2;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;1;;48;347;16;3;76;66;31;0;192;5;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;1;;49;576;13;0;55;58;24;1;151;7;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;2;;50;316;20;2;38;41;16;1;118;6;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;2;;51;612;15;1;59;73;27;4;179;5;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;2;;52;287;13;1;39;39;19;3;114;1;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;2;;53;296;11;1;47;47;17;0;123;3;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;2;;54;325;16;1;70;59;31;0;177;5;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;2;;55;307;7;3;78;40;34;0;162;3;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;2;;56;316;9;2;54;56;37;2;160;4;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;2;;57;288;3;1;65;48;54;2;173;2;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;2;;58;307;8;0;55;42;51;1;157;1;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;2;;59;300;5;1;31;37;35;2;111;3;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;2;;60;280;7;0;53;35;40;1;136;6;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;3;;61;308;16;1;59;62;26;2;166;1;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;3;;62;292;9;0;43;45;21;2;120;5;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;3;;63;285;9;0;42;62;28;4;145;2;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;3;;64;302;7;5;46;64;29;3;154;8;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;3;;65;283;6;4;43;30;16;2;101;6;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;3;;66;301;11;1;68;55;41;1;177;7;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;3;;67;288;11;2;72;42;38;4;169;1;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;4;;68;338;3;1;58;55;37;0;154;7;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;4;;69;312;18;1;55;45;27;1;147;4;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;4;;70;321;14;1;59;57;29;1;161;3;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;4;;71;338;14;3;57;54;27;2;157;2;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;4;;72;310;9;2;53;63;29;3;159;9;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;5;;73;298;13;1;84;62;31;1;192;3;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;5;;74;335;12;2;66;66;39;1;186;8;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;5;;75;295;12;1;66;55;43;2;179;6;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;5;;76;326;7;1;51;53;35;0;147;4;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;5;;77;330;13;1;56;69;28;5;172;8;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;5;;78;320;6;2;38;74;29;1;150;6;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;5;;79;339;14;1;54;38;21;5;133;6;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;5;;80;302;14;0;50;67;32;0;163;3;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;6;;81;283;2;1;61;45;31;2;142;2;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;6;;82;287;9;2;56;44;30;1;142;4;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;6;;83;286;5;1;71;29;41;2;149;1;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;6;;84;266;6;2;60;63;23;1;155;0;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;6;;85;342;7;1;78;57;35;4;182;6;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;6;;86;278;11;2;66;56;23;0;158;4;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;6;;87;275;13;1;51;39;35;0;139;6;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;6;;88;299;7;1;75;60;33;2;178;5;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;6;;89;291;11;1;70;65;29;0;176;2;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;7;;90;310;10;0;92;71;48;0;221;1;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;7;;91;313;11;0;106;28;51;2;198;3;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;7;;92;307;10;0;70;78;47;0;205;2;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;7;;93;299;13;2;84;76;19;1;195;1;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;7;;94;289;11;1;79;67;24;2;184;2;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;8;;95;315;6;0;64;65;51;0;186;5;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;8;;96;317;10;2;64;68;44;0;188;3;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;8;;97;302;7;2;65;66;47;1;188;3;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;8;;98;331;16;0;63;64;25;2;170;6;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;8;;99;339;11;2;51;55;42;1;162;5;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;8;;100;329;13;2;55;67;52;3;192;6;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;8;;101;298;11;2;52;61;39;3;168;2;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;8;;102;290;9;0;65;38;38;3;153;2;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;8;;103;326;10;1;54;61;27;5;158;3;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;9;;104;282;9;0;57;53;26;2;147;8;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;9;;105;300;10;2;41;63;32;0;148;2;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;9;;106;312;7;3;70;59;42;3;184;1;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;9;;107;289;9;1;47;80;28;2;167;4;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;9;;108;254;9;3;53;67;15;2;149;2;
