Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cooke Jean P.Q.;Dejoie Carlie C.A.Q.-É.F.L.;Edge Brendan P.V.Q./G.P.Q.;Gagnon Emily B.P.;Ouellette Guy P.L.Q./Q.L.P.;Rhéaume Lise-Anne Q.S.;Simard Patrick O.N. - P.I.Q.;B.V.;B.R.;
441;Chomedey;2014-04-07;G;Laval, v;29;;92;394;9;11;2;0;221;1;0;244;1;
441;Chomedey;2014-04-07;G;Laval, v;29;;93;410;13;15;2;0;197;3;0;230;4;
441;Chomedey;2014-04-07;G;Laval, v;29;;94;407;6;11;0;0;234;2;0;253;1;
441;Chomedey;2014-04-07;G;Laval, v;29;;95;400;5;9;4;0;199;5;0;222;0;
441;Chomedey;2014-04-07;G;Laval, v;29;;96;392;3;5;0;0;245;5;2;260;1;
441;Chomedey;2014-04-07;G;Laval, v;29;;97;376;1;6;3;0;219;2;0;231;0;
441;Chomedey;2014-04-07;G;Laval, v;30;;98;368;5;9;4;0;236;1;0;255;0;
441;Chomedey;2014-04-07;G;Laval, v;30;;99;350;11;9;2;0;197;5;0;224;2;
441;Chomedey;2014-04-07;G;Laval, v;30;;100;372;4;9;3;1;227;5;0;249;3;
441;Chomedey;2014-04-07;G;Laval, v;30;;101;373;10;16;2;0;193;2;0;223;1;
441;Chomedey;2014-04-07;G;Laval, v;30;;102;377;7;10;1;1;187;2;0;208;0;
441;Chomedey;2014-04-07;G;Laval, v;30;;103;379;2;7;1;0;182;1;0;193;1;
441;Chomedey;2014-04-07;G;Laval, v;31;;104;372;1;5;1;2;196;8;1;214;0;
441;Chomedey;2014-04-07;G;Laval, v;31;;105;364;2;6;0;0;217;2;0;227;0;
441;Chomedey;2014-04-07;G;Laval, v;31;;106;374;2;1;0;1;209;2;0;215;2;
441;Chomedey;2014-04-07;G;Laval, v;31;;107;367;8;14;0;1;182;1;0;206;3;
441;Chomedey;2014-04-07;G;Laval, v;31;;108;380;5;13;0;0;198;2;0;218;0;
441;Chomedey;2014-04-07;G;Laval, v;31;;109;359;7;8;1;0;189;2;0;207;0;
441;Chomedey;2014-04-07;G;Laval, v;31;;110;350;5;5;1;3;177;0;1;192;1;
441;Chomedey;2014-04-07;G;Laval, v;31;;111;359;4;10;1;1;209;1;0;226;1;
441;Chomedey;2014-04-07;G;Laval, v;32;;112;377;9;6;1;0;196;2;0;214;2;
441;Chomedey;2014-04-07;G;Laval, v;32;;113;378;15;21;2;1;184;6;0;229;0;
441;Chomedey;2014-04-07;G;Laval, v;32;;114;383;14;10;3;0;212;6;0;245;2;
441;Chomedey;2014-04-07;G;Laval, v;32;;115;371;30;19;1;1;138;7;0;196;2;
441;Chomedey;2014-04-07;G;Laval, v;32;;116;399;38;33;0;2;128;7;0;208;2;
441;Chomedey;2014-04-07;G;Laval, v;32;;117;360;46;33;3;3;101;4;1;191;6;
441;Chomedey;2014-04-07;G;Laval, v;32;;118;391;24;23;4;4;151;4;2;212;4;
441;Chomedey;2014-04-07;G;Laval, v;33;;119;382;32;29;7;0;186;11;2;267;2;
441;Chomedey;2014-04-07;G;Laval, v;33;;120;666;20;16;4;0;219;3;0;262;0;
441;Chomedey;2014-04-07;G;Laval, v;33;;121;390;22;31;0;1;130;5;0;189;3;
441;Chomedey;2014-04-07;G;Laval, v;33;;122;416;16;10;2;0;197;4;0;229;6;
441;Chomedey;2014-04-07;G;Laval, v;33;;123;374;13;14;2;2;167;8;0;206;0;
441;Chomedey;2014-04-07;G;Laval, v;33;;124;388;27;13;2;0;178;3;0;223;2;
441;Chomedey;2014-04-07;G;Laval, v;33;;125;391;16;17;6;1;191;2;0;233;0;
441;Chomedey;2014-04-07;G;Laval, v;34;;126;290;23;32;2;0;95;2;0;154;1;
441;Chomedey;2014-04-07;G;Laval, v;34;;127;287;34;29;3;0;97;11;0;174;1;
441;Chomedey;2014-04-07;G;Laval, v;34;;128;331;48;31;2;0;132;9;1;223;3;
441;Chomedey;2014-04-07;G;Laval, v;34;;129;268;19;33;0;0;79;6;0;137;2;
441;Chomedey;2014-04-07;G;Laval, v;35;;130;350;27;42;0;0;141;1;0;211;0;
