Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;André Marilou Q.S.;Chouinard Normand P.M.L.Q.;Gouin Jean-Pierre O.N. - P.I.Q.;Langlois Pierre P.Q.;Le Bouyonnec Stéphane C.A.Q.-É.F.L.;L'Heureux Guy É.A.P. - P.C.Q.;Merlini Richard P.L.Q./Q.L.P.;B.V.;B.R.;
183;La Prairie;2014-04-07;G;Candiac, v;2;;56;360;10;0;2;59;61;1;42;175;2;
183;La Prairie;2014-04-07;G;Candiac, v;2;;57;370;21;1;0;52;59;2;71;206;6;
183;La Prairie;2014-04-07;G;Candiac, v;2;;58;359;13;0;0;43;66;3;88;213;4;
183;La Prairie;2014-04-07;G;Candiac, v;2;;59;373;12;0;1;58;60;3;69;203;8;
183;La Prairie;2014-04-07;G;Candiac, v;2;;60;351;17;0;4;48;55;0;47;171;3;
183;La Prairie;2014-04-07;G;Candiac, v;2;;61;358;10;1;1;38;44;1;63;158;3;
183;La Prairie;2014-04-07;G;Candiac, v;2;;62;368;15;1;1;36;67;1;98;219;6;
183;La Prairie;2014-04-07;G;Candiac, v;2;;63;362;5;1;0;32;56;1;86;181;0;
183;La Prairie;2014-04-07;G;Candiac, v;2;;64;372;12;1;0;31;85;0;80;209;0;
183;La Prairie;2014-04-07;G;Candiac, v;3;;65;397;4;1;1;46;65;1;107;225;2;
183;La Prairie;2014-04-07;G;Candiac, v;3;;66;404;11;0;0;35;84;2;98;230;2;
183;La Prairie;2014-04-07;G;Candiac, v;3;;67;390;18;0;1;45;74;0;100;238;5;
183;La Prairie;2014-04-07;G;Candiac, v;3;;68;372;13;0;4;47;72;1;92;229;0;
183;La Prairie;2014-04-07;G;Candiac, v;3;;69;408;6;0;1;41;78;0;125;251;4;
183;La Prairie;2014-04-07;G;Candiac, v;3;;70;385;8;1;1;18;79;0;137;244;0;
183;La Prairie;2014-04-07;G;Candiac, v;3;;71;403;18;0;0;38;86;3;113;258;0;
183;La Prairie;2014-04-07;G;Candiac, v;3;;72;409;13;0;0;24;90;1;121;249;0;
183;La Prairie;2014-04-07;G;Candiac, v;3;;73;388;11;0;0;51;80;0;95;237;0;
183;La Prairie;2014-04-07;G;Candiac, v;3;;74;395;8;3;0;37;71;0;121;240;0;
183;La Prairie;2014-04-07;G;Candiac, v;3;;75A;300;3;0;0;32;68;2;46;151;1;
183;La Prairie;2014-04-07;G;Candiac, v;3;;75B;254;7;0;0;34;55;2;82;180;5;
