Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boudou-Laforce Étienne O.N. - P.I.Q.;Carbonneau Vincent J. P.V.Q./G.P.Q.;Collette Marcel É.A.P. - P.C.Q.;Hardy Guy P.L.Q./Q.L.P.;Hébert Réjean P.Q.;Lafrance Philippe B.P.;Lambert Lionel P.U.N.;Poulin André Q.S.;Stratford Gaston C.A.Q.-É.F.L.;B.V.;B.R.;
111;Saint-François;2014-04-07;G;Sherbrooke, v;29;;65;384;5;1;0;51;81;1;0;20;29;188;3;
111;Saint-François;2014-04-07;G;Sherbrooke, v;29;;66;385;3;0;0;51;48;3;0;20;27;152;2;
111;Saint-François;2014-04-07;G;Sherbrooke, v;29;;67;390;0;1;3;63;69;1;3;13;37;190;2;
111;Saint-François;2014-04-07;G;Sherbrooke, v;29;;68;391;1;4;0;47;56;3;1;16;27;155;7;
111;Saint-François;2014-04-07;G;Sherbrooke, v;30;;69;378;0;1;0;37;53;1;1;15;39;147;6;
111;Saint-François;2014-04-07;G;Sherbrooke, v;30;;70;392;1;2;0;49;37;0;2;24;31;146;0;
111;Saint-François;2014-04-07;G;Sherbrooke, v;30;;71;612;1;2;0;24;47;1;1;26;5;107;3;
111;Saint-François;2014-04-07;G;Sherbrooke, v;30;;72;391;0;0;0;32;56;3;0;20;17;128;2;
111;Saint-François;2014-04-07;G;Sherbrooke, v;30;;73;378;0;2;1;41;50;2;0;13;32;141;3;
111;Saint-François;2014-04-07;G;Sherbrooke, v;30;;74;372;0;0;5;27;55;3;0;16;22;128;5;
111;Saint-François;2014-04-07;G;Sherbrooke, v;30;;75;389;3;3;1;51;48;4;1;14;23;148;8;
111;Saint-François;2014-04-07;G;Sherbrooke, v;30;;76;390;0;1;1;67;82;1;1;18;49;220;4;
111;Saint-François;2014-04-07;G;Sherbrooke, v;30;;77;368;1;1;1;52;38;6;1;17;24;141;7;
111;Saint-François;2014-04-07;G;Sherbrooke, v;31;;78;406;3;3;0;43;61;2;0;12;61;185;0;
111;Saint-François;2014-04-07;G;Sherbrooke, v;31;;79;406;1;5;1;45;41;1;0;14;27;135;4;
111;Saint-François;2014-04-07;G;Sherbrooke, v;31;;80;397;0;3;0;52;39;5;1;14;40;154;3;
111;Saint-François;2014-04-07;G;Sherbrooke, v;31;;81;391;4;2;0;52;79;2;0;22;46;207;8;
111;Saint-François;2014-04-07;G;Sherbrooke, v;31;;82;391;2;2;0;66;54;4;0;16;30;174;1;
111;Saint-François;2014-04-07;G;Sherbrooke, v;31;;83;381;2;5;3;35;48;0;0;10;28;131;1;
111;Saint-François;2014-04-07;G;Sherbrooke, v;32;;84;353;0;4;2;22;48;2;1;15;22;116;5;
111;Saint-François;2014-04-07;G;Sherbrooke, v;32;;85;343;2;4;0;62;62;1;0;8;26;165;5;
111;Saint-François;2014-04-07;G;Sherbrooke, v;32;;86;359;2;6;1;39;57;1;0;22;37;165;5;
111;Saint-François;2014-04-07;G;Sherbrooke, v;32;;87;347;1;4;2;36;46;0;1;26;33;149;1;
111;Saint-François;2014-04-07;G;Sherbrooke, v;32;;88;337;1;3;0;29;45;4;0;16;38;136;3;
111;Saint-François;2014-04-07;G;Sherbrooke, v;33;;89;381;1;0;0;34;44;2;0;11;25;117;3;
111;Saint-François;2014-04-07;G;Sherbrooke, v;33;;90;386;0;6;2;56;51;0;0;26;29;170;1;
111;Saint-François;2014-04-07;G;Sherbrooke, v;33;;91;380;4;1;0;71;46;3;1;20;39;185;1;
111;Saint-François;2014-04-07;G;Sherbrooke, v;33;;92;372;4;5;1;38;48;0;0;29;26;151;4;
111;Saint-François;2014-04-07;G;Sherbrooke, v;33;;93;391;2;6;1;31;52;0;0;51;15;158;3;
111;Saint-François;2014-04-07;G;Sherbrooke, v;33;;94;376;2;0;2;49;48;2;1;14;17;135;2;
111;Saint-François;2014-04-07;G;Sherbrooke, v;33;;95;362;4;2;0;25;59;3;0;47;26;166;2;
111;Saint-François;2014-04-07;G;Sherbrooke, v;33;;96;369;0;1;0;37;76;0;0;46;32;192;2;
111;Saint-François;2014-04-07;G;Sherbrooke, v;33;;97;383;3;1;0;65;65;3;3;18;32;190;3;
111;Saint-François;2014-04-07;G;Sherbrooke, v;34;;98;399;0;0;0;73;58;4;1;15;64;215;7;
111;Saint-François;2014-04-07;G;Sherbrooke, v;34;;99;395;3;0;0;54;93;0;0;18;44;212;2;
111;Saint-François;2014-04-07;G;Sherbrooke, v;34;;100;390;0;0;1;63;84;1;0;16;65;230;1;
111;Saint-François;2014-04-07;G;Sherbrooke, v;34;;101;384;0;0;0;52;59;1;0;15;52;179;7;
111;Saint-François;2014-04-07;G;Sherbrooke, v;34;;102;387;0;3;3;29;67;1;2;14;54;173;3;
111;Saint-François;2014-04-07;G;Sherbrooke, v;34;;103;393;1;1;2;61;79;3;0;11;71;229;6;
111;Saint-François;2014-04-07;G;Sherbrooke, v;34;;104;396;3;2;0;42;46;1;0;12;42;148;2;
111;Saint-François;2014-04-07;G;Sherbrooke, v;34;;105;381;3;2;1;55;52;0;0;15;34;162;5;
111;Saint-François;2014-04-07;G;Sherbrooke, v;34;;106;396;0;1;1;65;69;2;0;12;41;191;5;
111;Saint-François;2014-04-07;G;Sherbrooke, v;34;;107;398;1;2;2;45;52;3;1;12;51;169;6;
111;Saint-François;2014-04-07;G;Sherbrooke, v;34;;108;393;0;1;1;59;89;4;1;21;62;238;3;
111;Saint-François;2014-04-07;G;Sherbrooke, v;34;;109;391;8;4;1;35;97;0;0;16;64;225;1;
111;Saint-François;2014-04-07;G;Sherbrooke, v;34;;110;401;2;3;0;59;74;2;1;16;54;211;2;
111;Saint-François;2014-04-07;G;Sherbrooke, v;35;;111;379;2;2;0;69;83;1;0;27;57;241;9;
111;Saint-François;2014-04-07;G;Sherbrooke, v;35;;112;388;2;2;0;56;84;0;0;15;34;193;8;
111;Saint-François;2014-04-07;G;Sherbrooke, v;35;;113;382;0;3;1;64;75;2;0;12;36;193;3;
111;Saint-François;2014-04-07;G;Sherbrooke, v;35;;114;382;0;0;0;40;68;0;0;23;44;175;2;
111;Saint-François;2014-04-07;G;Sherbrooke, v;35;;115;381;3;4;1;47;60;1;0;10;63;189;4;
111;Saint-François;2014-04-07;G;Sherbrooke, v;35;;116;385;1;3;2;52;88;3;0;24;40;213;1;
111;Saint-François;2014-04-07;G;Sherbrooke, v;35;;117;382;2;4;0;54;69;1;0;26;29;185;2;
111;Saint-François;2014-04-07;G;Sherbrooke, v;35;;118;385;3;3;1;59;64;1;0;19;41;191;6;
111;Saint-François;2014-04-07;G;Sherbrooke, v;35;;119;385;1;1;1;53;66;1;0;20;29;172;5;
111;Saint-François;2014-04-07;G;Sherbrooke, v;36;;120;411;2;1;2;70;75;1;0;19;57;227;4;
111;Saint-François;2014-04-07;G;Sherbrooke, v;36;;121;414;0;3;2;70;57;1;1;17;32;183;5;
111;Saint-François;2014-04-07;G;Sherbrooke, v;36;;122;399;2;0;0;49;38;0;0;15;24;128;2;
111;Saint-François;2014-04-07;G;Sherbrooke, v;36;;123;699;2;5;2;65;66;4;0;24;39;207;9;
111;Saint-François;2014-04-07;G;Sherbrooke, v;36;;124;408;1;4;1;68;76;0;0;13;47;210;5;
111;Saint-François;2014-04-07;G;Sherbrooke, v;36;;125;406;3;2;2;60;55;2;0;14;54;192;4;
111;Saint-François;2014-04-07;G;Sherbrooke, v;36;;126;419;8;6;2;49;53;1;0;11;56;186;1;
111;Saint-François;2014-04-07;G;Sherbrooke, v;36;;127;392;0;2;1;61;66;1;0;15;48;194;1;
111;Saint-François;2014-04-07;G;Sherbrooke, v;36;;128;403;5;4;0;60;92;2;0;21;57;241;4;
111;Saint-François;2014-04-07;G;Sherbrooke, v;36;;129;399;1;0;0;54;60;4;0;24;55;198;7;
