Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boucher Etienne-Alexis P.Q.;Côté Dave É.A.P. - P.C.Q.;Dion Alain C.A.Q.-É.F.L.;Dion-Fontaine Aurélie P.V.Q./G.P.Q.;Landry Colombe Q.S.;Proulx Vincent O.N. - P.I.Q.;Vallières Karine P.L.Q./Q.L.P.;B.V.;B.R.;
283;Richmond;2014-04-07;G;Wotton, m;1;;50;390;39;0;32;1;16;3;117;208;4;
283;Richmond;2014-04-07;G;Wotton, m;1;;51;374;48;1;43;4;18;0;91;205;4;
283;Richmond;2014-04-07;G;Wotton, m;1;;52;358;31;1;40;5;12;1;85;175;3;
283;Richmond;2014-04-07;G;Saint-Camille, ct;1;;53;391;87;0;33;5;49;6;100;280;3;
283;Richmond;2014-04-07;G;Saint-Adrien, m;1;;54;399;71;2;67;6;39;3;97;285;8;
283;Richmond;2014-04-07;G;Ham-Sud, m;1;;55;205;33;0;11;2;16;0;55;117;1;
283;Richmond;2014-04-07;G;Valcourt, ct;1;;56;277;32;0;48;4;15;2;60;161;1;
283;Richmond;2014-04-07;G;Valcourt, ct;1;;57;264;43;2;49;3;8;0;53;158;1;
283;Richmond;2014-04-07;G;Valcourt, ct;1;;58;281;18;0;55;2;7;0;60;142;2;
283;Richmond;2014-04-07;G;Valcourt, v;1;;59;346;31;1;46;2;15;1;90;186;3;
283;Richmond;2014-04-07;G;Valcourt, v;1;;60;346;34;0;56;1;6;1;61;159;2;
283;Richmond;2014-04-07;G;Valcourt, v;1;;61;357;37;1;41;3;6;1;51;140;5;
283;Richmond;2014-04-07;G;Valcourt, v;1;;62;360;31;0;52;3;15;1;75;177;6;
283;Richmond;2014-04-07;G;Valcourt, v;1;;63;361;43;2;65;3;13;3;63;192;7;
283;Richmond;2014-04-07;G;Maricourt, m;1;;64;345;45;0;68;7;19;0;72;211;2;
283;Richmond;2014-04-07;G;Racine, m;1;;65;358;57;1;76;3;19;0;78;234;3;
283;Richmond;2014-04-07;G;Racine, m;1;;66;339;44;1;51;5;11;1;87;200;6;
283;Richmond;2014-04-07;G;Racine, m;1;;67;321;45;0;49;3;15;1;44;157;0;
283;Richmond;2014-04-07;G;Saint-Denis-de-Brompton, m;1;;68;408;78;1;65;2;13;0;79;238;5;
283;Richmond;2014-04-07;G;Saint-Denis-de-Brompton, m;1;;69;388;72;1;57;3;18;0;73;224;3;
283;Richmond;2014-04-07;G;Saint-Denis-de-Brompton, m;1;;70;427;70;0;58;7;22;2;96;255;2;
283;Richmond;2014-04-07;G;Saint-Denis-de-Brompton, m;1;;71A;209;53;0;36;1;10;0;40;140;1;
283;Richmond;2014-04-07;G;Saint-Denis-de-Brompton, m;1;;71B;220;38;1;45;4;9;2;43;142;1;
283;Richmond;2014-04-07;G;Saint-Denis-de-Brompton, m;1;;72;386;82;3;80;3;27;1;71;267;1;
283;Richmond;2014-04-07;G;Saint-Denis-de-Brompton, m;1;;73;407;88;1;49;3;23;3;102;269;1;
283;Richmond;2014-04-07;G;Saint-Denis-de-Brompton, m;1;;74;393;91;3;58;4;30;2;72;260;2;
283;Richmond;2014-04-07;G;Sherbrooke, v;1;;75;409;64;0;75;7;18;2;62;228;7;
283;Richmond;2014-04-07;G;Sherbrooke, v;1;;76;396;54;0;63;2;21;1;64;205;4;
283;Richmond;2014-04-07;G;Sherbrooke, v;1;;77;382;52;1;81;3;15;1;36;189;4;
283;Richmond;2014-04-07;G;Sherbrooke, v;1;;78;403;57;1;72;3;13;6;70;222;5;
283;Richmond;2014-04-07;G;Sherbrooke, v;1;;79;388;62;0;64;0;9;1;89;225;0;
283;Richmond;2014-04-07;G;Sherbrooke, v;1;;80;402;53;0;75;4;15;2;54;203;1;
283;Richmond;2014-04-07;G;Sherbrooke, v;1;;81;393;56;2;51;5;20;2;70;206;4;
283;Richmond;2014-04-07;G;Sherbrooke, v;1;;82;373;41;2;63;3;9;0;64;182;4;
283;Richmond;2014-04-07;G;Sherbrooke, v;1;;83;408;47;1;59;4;16;0;69;196;2;
283;Richmond;2014-04-07;G;Sherbrooke, v;1;;84;403;36;2;66;3;17;0;58;182;4;
283;Richmond;2014-04-07;G;Sherbrooke, v;2;;85A;165;21;4;31;1;6;1;26;90;2;
283;Richmond;2014-04-07;G;Sherbrooke, v;2;;85B;263;23;1;41;2;6;1;45;119;6;
283;Richmond;2014-04-07;G;Sherbrooke, v;2;;86;386;61;3;42;0;14;2;67;189;3;
283;Richmond;2014-04-07;G;Sherbrooke, v;2;;87;374;41;1;47;1;12;0;55;157;2;
283;Richmond;2014-04-07;G;Sherbrooke, v;2;;88;372;61;2;58;2;22;1;52;198;4;
