Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaudin Évelyne O.N. - P.I.Q.;Bolduc Ghislain P.L.Q./Q.L.P.;Boulanger Pierre-Luc C.A.Q.-É.F.L.;Hallé Isabelle P.Q.;Nadeau Ludovick Q.S.;B.V.;B.R.;
103;Mégantic;2014-04-07;G;Frontenac, m;1;;23;306;0;61;33;58;5;157;2;
103;Mégantic;2014-04-07;G;Nantes, m;1;;24;285;1;28;43;46;9;127;0;
103;Mégantic;2014-04-07;G;Nantes, m;1;;25;252;0;57;27;56;9;149;0;
103;Mégantic;2014-04-07;G;Nantes, m;1;;26;267;2;44;50;26;4;126;2;
103;Mégantic;2014-04-07;G;Nantes, m;1;;27;263;1;55;38;50;4;148;0;
103;Mégantic;2014-04-07;G;Piopolis, m;1;;28;321;0;71;44;89;7;211;4;
103;Mégantic;2014-04-07;G;Saint-Augustin-de-Woburn, p;1;;29;268;1;69;59;53;4;186;1;
103;Mégantic;2014-04-07;G;Saint-Augustin-de-Woburn, p;1;;30;268;0;47;47;48;7;149;1;
103;Mégantic;2014-04-07;G;Audet, m;1;;31;256;1;70;36;38;13;158;2;
103;Mégantic;2014-04-07;G;Audet, m;1;;32;270;2;64;54;45;5;170;3;
103;Mégantic;2014-04-07;G;Sainte-Cécile-de-Whitton, m;1;;33;323;2;63;45;43;8;161;3;
103;Mégantic;2014-04-07;G;Sainte-Cécile-de-Whitton, m;1;;34;297;1;90;31;56;8;186;2;
103;Mégantic;2014-04-07;G;Lac-Drolet, m;1;;35;269;1;80;60;41;6;188;1;
103;Mégantic;2014-04-07;G;Lac-Drolet, m;1;;36;282;2;89;53;38;8;190;3;
103;Mégantic;2014-04-07;G;Lac-Drolet, m;1;;37;296;0;91;38;59;5;193;3;
103;Mégantic;2014-04-07;G;Saint-Sébastien, m;1;;38;269;0;100;50;28;11;189;2;
103;Mégantic;2014-04-07;G;Saint-Sébastien, m;1;;39;277;1;100;57;26;11;195;3;
103;Mégantic;2014-04-07;G;Lambton, m;1;;40;269;0;70;34;13;0;117;2;
103;Mégantic;2014-04-07;G;Lambton, m;1;;41;313;2;55;57;11;1;126;1;
103;Mégantic;2014-04-07;G;Lambton, m;1;;42;317;0;63;60;26;5;154;0;
103;Mégantic;2014-04-07;G;Lambton, m;1;;43;283;0;63;33;16;4;116;0;
103;Mégantic;2014-04-07;G;Saint-Romain, m;1;;44;275;2;79;41;32;4;158;3;
103;Mégantic;2014-04-07;G;Saint-Romain, m;1;;45;287;0;91;49;31;10;181;3;
103;Mégantic;2014-04-07;G;Stornoway, m;1;;46;216;1;73;29;35;4;142;0;
103;Mégantic;2014-04-07;G;Stornoway, m;1;;47;238;0;69;47;44;4;164;2;
103;Mégantic;2014-04-07;G;Milan, m;1;;48;238;2;51;38;43;5;139;3;
103;Mégantic;2014-04-07;G;Val-Racine, p;1;;49;120;2;17;19;34;9;81;3;
103;Mégantic;2014-04-07;G;Notre-Dame-des-Bois, m;1;;50;351;2;40;28;70;9;149;0;
103;Mégantic;2014-04-07;G;Notre-Dame-des-Bois, m;1;;51;310;2;80;39;40;10;171;1;
103;Mégantic;2014-04-07;G;Chartierville, m;1;;52;268;2;69;39;56;10;176;5;
103;Mégantic;2014-04-07;G;La Patrie, m;1;;53;282;1;56;44;66;9;176;2;
