Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bédard Stéphane P.Q.;Doyon Jean-Francois C.A.Q.-É.F.L.;Godin Réjean Q.S.;Gosselin Philippe O.N. - P.I.Q.;Mallette Michel P.L.Q./Q.L.P.;Pettersen Marc Ind;B.V.;B.R.;
763;Chicoutimi;2014-04-07;G;Saguenay, v;33;;47;334;48;34;8;2;38;20;150;3;
763;Chicoutimi;2014-04-07;G;Saguenay, v;33;;48;413;57;51;12;1;34;26;181;4;
763;Chicoutimi;2014-04-07;G;Saguenay, v;33;;49;341;61;46;6;2;61;19;195;7;
763;Chicoutimi;2014-04-07;G;Saguenay, v;33;;50;355;68;43;7;2;53;25;198;9;
763;Chicoutimi;2014-04-07;G;Saguenay, v;33;;51;349;51;24;5;2;46;15;143;4;
763;Chicoutimi;2014-04-07;G;Saguenay, v;34;;52;353;64;58;12;2;59;8;203;3;
763;Chicoutimi;2014-04-07;G;Saguenay, v;34;;53;375;85;52;10;3;51;11;212;4;
763;Chicoutimi;2014-04-07;G;Saguenay, v;34;;54;371;58;56;12;5;59;14;204;2;
763;Chicoutimi;2014-04-07;G;Saguenay, v;34;;55;341;61;37;11;4;43;11;167;2;
763;Chicoutimi;2014-04-07;G;Saguenay, v;34;;56;369;57;38;7;2;67;19;190;0;
763;Chicoutimi;2014-04-07;G;Saguenay, v;34;;57;366;70;53;9;3;71;25;231;2;
763;Chicoutimi;2014-04-07;G;Saguenay, v;34;;58;370;75;57;16;0;50;16;214;5;
763;Chicoutimi;2014-04-07;G;Saguenay, v;34;;59;356;63;50;5;0;66;18;202;2;
763;Chicoutimi;2014-04-07;G;Saguenay, v;34;;60;375;70;52;13;0;85;18;238;4;
763;Chicoutimi;2014-04-07;G;Saguenay, v;35;;61;368;75;38;10;5;60;28;216;6;
763;Chicoutimi;2014-04-07;G;Saguenay, v;35;;62;366;70;57;6;1;85;12;231;2;
763;Chicoutimi;2014-04-07;G;Saguenay, v;35;;63;379;60;54;24;1;69;14;222;4;
763;Chicoutimi;2014-04-07;G;Saguenay, v;35;;64;382;57;61;9;2;69;15;213;3;
763;Chicoutimi;2014-04-07;G;Saguenay, v;35;;65;375;67;49;17;1;64;29;227;6;
763;Chicoutimi;2014-04-07;G;Saguenay, v;35;;66;378;68;33;15;2;45;23;186;2;
763;Chicoutimi;2014-04-07;G;Saguenay, v;35;;67;372;49;31;12;3;32;11;138;2;
763;Chicoutimi;2014-04-07;G;Saguenay, v;35;;68;385;64;41;9;3;36;19;172;3;
763;Chicoutimi;2014-04-07;G;Saguenay, v;35;;69;371;67;41;15;1;62;10;196;0;
763;Chicoutimi;2014-04-07;G;Saguenay, v;36;;70;365;62;27;10;2;64;9;174;4;
763;Chicoutimi;2014-04-07;G;Saguenay, v;36;;71;396;57;32;10;2;52;15;168;1;
763;Chicoutimi;2014-04-07;G;Saguenay, v;36;;72;393;67;37;23;1;54;12;194;6;
763;Chicoutimi;2014-04-07;G;Saguenay, v;36;;73;432;48;29;11;1;46;7;142;5;
763;Chicoutimi;2014-04-07;G;Saguenay, v;36;;74;376;66;48;23;5;76;15;233;3;
763;Chicoutimi;2014-04-07;G;Saguenay, v;36;;75;384;79;45;13;0;71;21;229;5;
763;Chicoutimi;2014-04-07;G;Saguenay, v;36;;76;371;50;53;8;2;88;8;209;2;
763;Chicoutimi;2014-04-07;G;Saguenay, v;36;;77;352;55;59;13;2;79;7;215;4;
763;Chicoutimi;2014-04-07;G;Saguenay, v;37;;78;418;54;46;7;0;81;4;192;4;
763;Chicoutimi;2014-04-07;G;Saguenay, v;37;;79;390;63;49;11;0;83;11;217;0;
763;Chicoutimi;2014-04-07;G;Saguenay, v;37;;80;594;39;23;2;0;62;4;130;0;
763;Chicoutimi;2014-04-07;G;Saguenay, v;37;;81A;291;36;42;7;1;49;7;142;3;
763;Chicoutimi;2014-04-07;G;Saguenay, v;37;;81B;195;31;14;4;1;28;4;82;1;
763;Chicoutimi;2014-04-07;G;Saguenay, v;37;;82;378;53;38;8;3;63;15;180;7;
763;Chicoutimi;2014-04-07;G;Saguenay, v;37;;83;357;64;40;10;2;47;17;180;4;
