Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Des Rochers-Lamarche Marie-Claire Q.S.;Ouimet Gilles P.L.Q./Q.L.P.;Paré Bernard O.N. - P.I.Q.;Rocque François-Gycelain P.Q.;Skeete Christopher C.A.Q.-É.F.L.;B.V.;B.R.;
443;Fabre;2014-04-07;G;Laval, v;2;;20;298;10;56;2;42;34;144;3;
443;Fabre;2014-04-07;G;Laval, v;2;;21;293;15;53;0;61;52;181;2;
443;Fabre;2014-04-07;G;Laval, v;2;;22;293;10;102;1;35;32;180;3;
443;Fabre;2014-04-07;G;Laval, v;2;;23;340;10;126;0;45;27;208;1;
443;Fabre;2014-04-07;G;Laval, v;2;;24;318;16;107;3;31;39;196;3;
443;Fabre;2014-04-07;G;Laval, v;2;;25;317;14;94;1;50;44;203;3;
443;Fabre;2014-04-07;G;Laval, v;2;;26;309;13;64;0;37;39;153;2;
443;Fabre;2014-04-07;G;Laval, v;2;;27;345;16;82;1;39;58;196;1;
443;Fabre;2014-04-07;G;Laval, v;2;;28;302;16;60;1;45;30;152;0;
443;Fabre;2014-04-07;G;Laval, v;2;;29;297;3;97;0;30;46;176;1;
443;Fabre;2014-04-07;G;Laval, v;3;;30;319;18;74;0;56;39;187;1;
443;Fabre;2014-04-07;G;Laval, v;3;;31;303;17;70;1;41;50;179;0;
443;Fabre;2014-04-07;G;Laval, v;3;;32;340;18;61;1;40;31;151;2;
443;Fabre;2014-04-07;G;Laval, v;3;;33;324;17;74;0;43;44;178;0;
443;Fabre;2014-04-07;G;Laval, v;3;;34;289;16;70;0;49;41;176;2;
443;Fabre;2014-04-07;G;Laval, v;3;;35A;293;13;88;0;29;51;181;2;
443;Fabre;2014-04-07;G;Laval, v;3;;35B;263;7;96;0;17;24;144;2;
443;Fabre;2014-04-07;G;Laval, v;3;;36;305;10;62;0;45;41;158;6;
443;Fabre;2014-04-07;G;Laval, v;3;;37;336;11;86;0;36;50;183;1;
443;Fabre;2014-04-07;G;Laval, v;3;;38A;161;1;96;0;2;8;107;0;
443;Fabre;2014-04-07;G;Laval, v;3;;38B;337;7;177;0;17;22;223;1;
443;Fabre;2014-04-07;G;Laval, v;3;;39;313;6;125;1;14;31;177;0;
443;Fabre;2014-04-07;G;Laval, v;3;;40;330;5;132;0;15;41;193;2;
443;Fabre;2014-04-07;G;Laval, v;3;;41;367;10;150;2;31;37;230;1;
443;Fabre;2014-04-07;G;Laval, v;4;;42A;221;1;127;0;20;12;160;1;
443;Fabre;2014-04-07;G;Laval, v;4;;42B;359;4;156;0;31;30;221;3;
443;Fabre;2014-04-07;G;Laval, v;4;;43;340;14;107;3;40;43;207;5;
443;Fabre;2014-04-07;G;Laval, v;4;;44;304;13;66;1;54;35;169;0;
443;Fabre;2014-04-07;G;Laval, v;4;;45;273;21;71;0;42;32;166;4;
443;Fabre;2014-04-07;G;Laval, v;4;;46;280;17;66;0;49;21;153;2;
443;Fabre;2014-04-07;G;Laval, v;4;;47;273;12;89;2;29;22;154;5;
443;Fabre;2014-04-07;G;Laval, v;4;;48;303;11;116;0;39;25;191;3;
443;Fabre;2014-04-07;G;Laval, v;4;;49;271;10;97;1;31;38;177;0;
443;Fabre;2014-04-07;G;Laval, v;5;;50;269;14;89;1;36;35;175;2;
443;Fabre;2014-04-07;G;Laval, v;5;;51;295;21;78;0;44;31;174;3;
443;Fabre;2014-04-07;G;Laval, v;5;;52;277;5;74;0;30;36;145;0;
443;Fabre;2014-04-07;G;Laval, v;5;;53;329;12;90;0;34;39;175;8;
443;Fabre;2014-04-07;G;Laval, v;5;;54;317;13;73;1;44;39;170;5;
443;Fabre;2014-04-07;G;Laval, v;5;;55;290;22;71;1;47;25;166;2;
443;Fabre;2014-04-07;G;Laval, v;5;;56;290;11;110;0;45;23;189;0;
443;Fabre;2014-04-07;G;Laval, v;5;;57;436;16;99;1;47;29;192;0;
443;Fabre;2014-04-07;G;Laval, v;5;Regr. BVO-57;58;0;0;0;0;0;0;0;0;
443;Fabre;2014-04-07;G;Laval, v;5;;59;313;7;148;0;30;34;219;3;
443;Fabre;2014-04-07;G;Laval, v;5;;60;272;7;87;1;36;20;151;2;
443;Fabre;2014-04-07;G;Laval, v;5;;61;287;2;91;1;49;25;168;1;
443;Fabre;2014-04-07;G;Laval, v;5;;62;307;12;124;0;22;27;185;4;
443;Fabre;2014-04-07;G;Laval, v;5;;63;326;2;165;1;12;29;209;0;
443;Fabre;2014-04-07;G;Laval, v;5;;64;302;4;149;3;14;30;200;1;
443;Fabre;2014-04-07;G;Laval, v;5;;65;320;3;85;1;20;27;136;1;
443;Fabre;2014-04-07;G;Laval, v;5;;66;323;2;197;1;3;19;222;1;
443;Fabre;2014-04-07;G;Laval, v;5;;67A;248;3;152;0;2;8;165;0;
443;Fabre;2014-04-07;G;Laval, v;5;;67B;248;0;146;0;13;6;165;0;
443;Fabre;2014-04-07;G;Laval, v;5;;68A;356;2;154;0;8;25;189;0;
443;Fabre;2014-04-07;G;Laval, v;5;;68B;466;6;241;1;25;38;311;1;
443;Fabre;2014-04-07;G;Laval, v;6;;69;333;3;154;0;3;11;171;2;
443;Fabre;2014-04-07;G;Laval, v;6;;70;377;8;194;0;7;18;227;1;
443;Fabre;2014-04-07;G;Laval, v;6;;71;354;10;142;2;13;30;197;1;
443;Fabre;2014-04-07;G;Laval, v;6;;72A;262;2;137;1;8;24;172;1;
443;Fabre;2014-04-07;G;Laval, v;6;;72B;187;5;73;0;12;14;104;0;
443;Fabre;2014-04-07;G;Laval, v;6;;73;292;4;143;0;9;19;175;1;
443;Fabre;2014-04-07;G;Laval, v;6;;74;323;0;185;0;1;12;198;2;
443;Fabre;2014-04-07;G;Laval, v;6;;75;350;3;156;0;22;25;206;1;
443;Fabre;2014-04-07;G;Laval, v;6;;76;276;2;85;1;19;29;136;0;
443;Fabre;2014-04-07;G;Laval, v;6;;77;277;14;91;1;38;27;171;0;
443;Fabre;2014-04-07;G;Laval, v;6;;78;282;10;91;1;38;43;183;2;
443;Fabre;2014-04-07;G;Laval, v;6;;79;301;6;187;0;17;11;221;2;
443;Fabre;2014-04-07;G;Laval, v;6;;80;382;5;171;1;15;16;208;0;
443;Fabre;2014-04-07;G;Laval, v;6;;81;307;9;148;0;14;25;196;0;
443;Fabre;2014-04-07;G;Laval, v;6;;82;350;5;175;0;7;30;217;3;
443;Fabre;2014-04-07;G;Laval, v;6;;83;352;3;146;0;12;24;185;4;
443;Fabre;2014-04-07;G;Laval, v;7;;84;363;7;168;0;22;29;226;0;
443;Fabre;2014-04-07;G;Laval, v;7;;85;355;9;150;0;13;24;196;1;
443;Fabre;2014-04-07;G;Laval, v;7;;86;342;9;185;0;26;11;231;2;
443;Fabre;2014-04-07;G;Laval, v;7;;87A;303;4;123;0;11;23;161;4;
443;Fabre;2014-04-07;G;Laval, v;7;;87B;138;1;65;0;7;11;84;0;
443;Fabre;2014-04-07;G;Laval, v;7;;88;382;3;156;0;15;27;201;1;
443;Fabre;2014-04-07;G;Laval, v;7;;89;367;8;169;0;17;27;221;3;
