Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaulieu Daniel É.A.P. - P.C.Q.;Côté Catherine Q.S.;Genois Hugues P.Q.;Grimard Stéphanie O.N. - P.I.Q.;Marcotte Jacques C.A.Q.-É.F.L.;Matte Michel P.L.Q./Q.L.P.;B.V.;B.R.;
599;Portneuf;2014-04-07;G;Saint-Alban, m;1;;28;312;1;6;18;0;53;80;158;1;
599;Portneuf;2014-04-07;G;Saint-Alban, m;1;;29;331;2;6;27;1;68;100;204;2;
599;Portneuf;2014-04-07;G;Saint-Alban, m;1;;30;323;0;15;27;2;74;66;184;0;
599;Portneuf;2014-04-07;G;Sainte-Christine-d'Auvergne, m;1;;31;400;1;8;34;2;110;103;258;2;
599;Portneuf;2014-04-07;G;Portneuf, v;1;;32;262;2;5;28;0;57;43;135;3;
599;Portneuf;2014-04-07;G;Portneuf, v;1;;33;275;1;5;18;0;61;71;156;1;
599;Portneuf;2014-04-07;G;Portneuf, v;1;;34;287;2;8;24;2;63;57;156;1;
599;Portneuf;2014-04-07;G;Portneuf, v;1;;35;264;0;9;32;2;56;38;137;2;
599;Portneuf;2014-04-07;G;Portneuf, v;1;;36;328;1;8;23;0;67;67;166;2;
599;Portneuf;2014-04-07;G;Portneuf, v;1;;37;292;1;9;22;2;81;56;171;1;
599;Portneuf;2014-04-07;G;Portneuf, v;1;;38;269;0;10;25;1;61;48;145;2;
599;Portneuf;2014-04-07;G;Portneuf, v;1;;39;287;1;8;18;0;66;49;142;3;
599;Portneuf;2014-04-07;G;Portneuf, v;1;;40;359;6;6;25;0;86;60;183;5;
599;Portneuf;2014-04-07;G;Cap-Santé, v;1;;41;286;0;10;16;0;79;58;163;0;
599;Portneuf;2014-04-07;G;Cap-Santé, v;1;;42;312;2;9;17;1;79;53;161;2;
599;Portneuf;2014-04-07;G;Cap-Santé, v;1;;43;332;3;14;27;0;65;37;146;1;
599;Portneuf;2014-04-07;G;Cap-Santé, v;1;;44;287;2;6;14;2;62;55;141;3;
599;Portneuf;2014-04-07;G;Cap-Santé, v;1;;45;273;0;6;21;2;58;58;145;0;
599;Portneuf;2014-04-07;G;Cap-Santé, v;1;;46;283;2;2;21;1;79;44;149;3;
599;Portneuf;2014-04-07;G;Cap-Santé, v;1;;47A;228;0;4;7;0;85;30;126;3;
599;Portneuf;2014-04-07;G;Cap-Santé, v;1;;47B;211;1;4;13;3;71;27;119;2;
599;Portneuf;2014-04-07;G;Cap-Santé, v;1;;48;355;2;8;39;2;102;56;209;1;
599;Portneuf;2014-04-07;G;Donnacona, v;1;;49;261;3;2;18;0;40;38;101;1;
599;Portneuf;2014-04-07;G;Donnacona, v;1;;50;274;4;9;22;1;43;24;103;1;
599;Portneuf;2014-04-07;G;Donnacona, v;1;;51;280;0;8;17;2;51;63;141;3;
599;Portneuf;2014-04-07;G;Donnacona, v;1;;52;263;0;1;6;2;78;50;137;1;
