Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blanchard Manon Q.S.;Gervais-Després Éric O.N. - P.I.Q.;Lamarre Diane P.Q.;Tessier Maxime P.L.Q./Q.L.P.;Vaillancourt Sébastien C.A.Q.-É.F.L.;B.V.;B.R.;
223;Taillon;2014-04-07;G;Longueuil, v;37;;22;389;21;0;47;82;63;213;4;
223;Taillon;2014-04-07;G;Longueuil, v;38;;23;378;8;3;46;28;50;135;4;
223;Taillon;2014-04-07;G;Longueuil, v;38;;24;386;10;1;48;77;53;189;6;
223;Taillon;2014-04-07;G;Longueuil, v;38;;25;357;10;1;74;42;51;178;5;
223;Taillon;2014-04-07;G;Longueuil, v;38;;26;387;13;7;46;49;44;159;5;
223;Taillon;2014-04-07;G;Longueuil, v;38;;27;380;15;1;50;52;46;164;7;
223;Taillon;2014-04-07;G;Longueuil, v;38;;28;371;19;2;74;45;53;193;4;
223;Taillon;2014-04-07;G;Longueuil, v;38;;29;342;19;1;52;38;41;151;3;
223;Taillon;2014-04-07;G;Longueuil, v;38;;30A;245;8;1;39;18;25;91;2;
223;Taillon;2014-04-07;G;Longueuil, v;38;;30B;184;4;1;17;25;18;65;4;
223;Taillon;2014-04-07;G;Longueuil, v;38;;31;397;11;2;52;39;43;147;8;
223;Taillon;2014-04-07;G;Longueuil, v;38;;32;391;18;3;76;57;45;199;7;
223;Taillon;2014-04-07;G;Longueuil, v;39;;33;390;18;2;59;42;41;162;8;
223;Taillon;2014-04-07;G;Longueuil, v;39;;34;382;24;0;56;42;38;160;3;
223;Taillon;2014-04-07;G;Longueuil, v;39;;35;352;16;1;50;48;44;159;2;
223;Taillon;2014-04-07;G;Longueuil, v;39;;36;362;14;1;66;41;48;170;4;
223;Taillon;2014-04-07;G;Longueuil, v;39;;37;381;21;1;60;39;30;151;4;
223;Taillon;2014-04-07;G;Longueuil, v;39;;38;375;16;3;49;31;28;127;8;
223;Taillon;2014-04-07;G;Longueuil, v;39;;39;368;12;1;48;38;23;122;3;
223;Taillon;2014-04-07;G;Longueuil, v;39;;40;395;19;3;50;48;58;178;5;
223;Taillon;2014-04-07;G;Longueuil, v;40;;41;361;20;2;55;40;45;162;5;
223;Taillon;2014-04-07;G;Longueuil, v;40;;42;392;24;1;65;47;30;167;4;
223;Taillon;2014-04-07;G;Longueuil, v;40;;43;391;23;5;82;47;38;195;3;
223;Taillon;2014-04-07;G;Longueuil, v;40;;44;402;24;0;74;40;47;185;0;
223;Taillon;2014-04-07;G;Longueuil, v;40;;45;375;22;2;71;48;50;193;1;
223;Taillon;2014-04-07;G;Longueuil, v;40;;46;362;22;2;70;49;36;179;4;
223;Taillon;2014-04-07;G;Longueuil, v;40;;47;366;27;2;66;36;37;168;4;
223;Taillon;2014-04-07;G;Longueuil, v;40;;48;373;35;2;72;42;30;181;2;
223;Taillon;2014-04-07;G;Longueuil, v;40;;49;372;30;3;60;37;51;181;6;
223;Taillon;2014-04-07;G;Longueuil, v;40;;50;348;15;4;41;31;37;128;2;
