Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Billette Stéphane P.L.Q./Q.L.P.;Bourdon Louis-Paul P.S.P.;De Martin Albert É.A.P. - P.C.Q.;Hébert Huguette P.Q.;IsaBelle Claire C.A.Q.-É.F.L.;Labelle Carmen Q.S.;Labrie Yann O.N. - P.I.Q.;B.V.;B.R.;
149;Huntingdon;2014-04-07;G;Huntingdon, v;1;;23;313;77;3;3;11;18;1;0;113;2;
149;Huntingdon;2014-04-07;G;Elgin, m;1;;24;335;153;2;7;16;20;8;0;206;1;
149;Huntingdon;2014-04-07;G;Hinchinbrooke, m;1;;25;296;180;0;2;4;5;3;0;194;0;
149;Huntingdon;2014-04-07;G;Hinchinbrooke, m;1;;26;276;107;1;1;3;12;3;0;127;0;
149;Huntingdon;2014-04-07;G;Hinchinbrooke, m;1;;27;321;145;1;0;8;16;5;0;175;3;
149;Huntingdon;2014-04-07;G;Hinchinbrooke, m;1;;28;308;84;1;4;11;12;1;1;114;2;
149;Huntingdon;2014-04-07;G;Hinchinbrooke, m;1;;29;281;104;4;0;12;13;3;0;136;1;
149;Huntingdon;2014-04-07;G;Hinchinbrooke, m;1;;30;317;52;0;10;54;22;8;1;147;9;
149;Huntingdon;2014-04-07;G;Franklin, m;1;;31;375;132;2;1;43;58;13;1;250;2;
149;Huntingdon;2014-04-07;G;Franklin, m;1;;32;316;147;2;4;28;22;7;1;211;2;
149;Huntingdon;2014-04-07;G;Franklin, m;1;;33;319;91;4;0;41;27;12;0;175;2;
149;Huntingdon;2014-04-07;G;Franklin, m;1;;34;319;87;3;4;49;54;6;0;203;0;
149;Huntingdon;2014-04-07;G;Ormstown, m;1;;35;349;70;1;2;36;59;9;0;177;1;
149;Huntingdon;2014-04-07;G;Ormstown, m;1;;36;348;94;2;2;36;30;10;1;175;4;
149;Huntingdon;2014-04-07;G;Ormstown, m;1;;37;312;119;1;3;13;12;5;0;153;1;
149;Huntingdon;2014-04-07;G;Ormstown, m;1;;38;299;77;3;0;29;14;3;0;126;2;
149;Huntingdon;2014-04-07;G;Ormstown, m;1;;39;404;80;1;0;18;7;9;1;116;3;
149;Huntingdon;2014-04-07;G;Ormstown, m;1;;40;318;111;3;0;23;15;7;2;161;2;
149;Huntingdon;2014-04-07;G;Ormstown, m;1;;41;312;92;3;1;20;25;4;0;145;2;
149;Huntingdon;2014-04-07;G;Ormstown, m;1;;42;298;76;0;2;19;28;6;3;134;3;
149;Huntingdon;2014-04-07;G;Ormstown, m;1;;43;305;77;1;0;38;21;2;1;140;7;
149;Huntingdon;2014-04-07;G;Très-Saint-Sacrement, p;1;;44;278;114;0;0;27;38;13;1;193;1;
149;Huntingdon;2014-04-07;G;Très-Saint-Sacrement, p;1;;45;364;180;4;2;28;37;10;5;266;2;
149;Huntingdon;2014-04-07;G;Très-Saint-Sacrement, p;1;;46;312;152;2;1;24;27;3;0;209;2;
149;Huntingdon;2014-04-07;G;Howick, m;1;;47;347;138;4;1;33;33;20;1;230;0;
149;Huntingdon;2014-04-07;G;Howick, m;1;;48;208;79;1;1;19;31;13;0;144;1;
149;Huntingdon;2014-04-07;G;Sainte-Martine, m;1;;49;319;69;6;0;35;56;11;0;177;5;
149;Huntingdon;2014-04-07;G;Sainte-Martine, m;1;;50;327;56;2;2;43;66;11;1;181;4;
149;Huntingdon;2014-04-07;G;Sainte-Martine, m;1;;51;314;70;3;0;41;45;13;1;173;5;
149;Huntingdon;2014-04-07;G;Sainte-Martine, m;1;;52A;278;44;1;0;38;59;13;1;156;2;
149;Huntingdon;2014-04-07;G;Sainte-Martine, m;1;;52B;201;26;1;0;36;54;10;0;127;1;
149;Huntingdon;2014-04-07;G;Sainte-Martine, m;1;;53;323;53;3;2;51;57;7;0;173;4;
149;Huntingdon;2014-04-07;G;Sainte-Martine, m;1;;54;303;29;1;0;59;63;18;2;172;5;
149;Huntingdon;2014-04-07;G;Sainte-Martine, m;1;;55;292;42;1;1;47;49;11;1;152;4;
149;Huntingdon;2014-04-07;G;Sainte-Martine, m;1;;56;392;71;0;2;58;46;15;1;193;4;
149;Huntingdon;2014-04-07;G;Sainte-Martine, m;1;;57;317;43;2;1;45;55;18;1;165;4;
149;Huntingdon;2014-04-07;G;Sainte-Martine, m;1;;58;266;45;1;2;30;33;16;0;127;6;
149;Huntingdon;2014-04-07;G;Sainte-Martine, m;1;;59;405;63;2;0;47;47;18;0;177;5;
149;Huntingdon;2014-04-07;G;Sainte-Martine, m;1;;60;317;59;2;1;43;37;9;1;152;2;
149;Huntingdon;2014-04-07;G;Saint-Urbain-Premier, m;1;;61;360;70;0;6;71;83;12;2;244;7;
149;Huntingdon;2014-04-07;G;Saint-Urbain-Premier, m;1;;62;327;81;3;2;41;66;11;3;207;4;
149;Huntingdon;2014-04-07;G;Saint-Urbain-Premier, m;1;;63;263;69;2;5;39;44;11;1;171;5;
149;Huntingdon;2014-04-07;G;Sainte-Clotilde, m;1;;64;332;78;13;0;49;45;8;1;194;2;
149;Huntingdon;2014-04-07;G;Sainte-Clotilde, m;1;;65;297;51;2;1;35;46;5;0;140;1;
149;Huntingdon;2014-04-07;G;Sainte-Clotilde, m;1;;66;299;53;2;0;48;68;4;1;176;3;
149;Huntingdon;2014-04-07;G;Sainte-Clotilde, m;1;;67;281;54;8;1;42;67;0;3;175;2;
149;Huntingdon;2014-04-07;G;Saint-Chrysostome, m;1;;68;330;83;0;3;62;43;10;1;202;1;
149;Huntingdon;2014-04-07;G;Saint-Chrysostome, m;1;;69;350;83;9;3;26;39;3;0;163;3;
149;Huntingdon;2014-04-07;G;Saint-Chrysostome, m;1;;70;350;87;8;1;62;54;18;1;231;3;
149;Huntingdon;2014-04-07;G;Saint-Chrysostome, m;1;;71;332;106;1;3;32;40;6;1;189;7;
149;Huntingdon;2014-04-07;G;Saint-Chrysostome, m;1;;72;377;106;1;3;43;63;9;1;226;5;
149;Huntingdon;2014-04-07;G;Saint-Chrysostome, m;1;;73;319;102;3;1;43;43;5;3;200;5;
149;Huntingdon;2014-04-07;G;Havelock, ct;1;;74;311;114;0;4;30;36;14;0;198;0;
149;Huntingdon;2014-04-07;G;Havelock, ct;1;;75;310;90;1;1;37;39;20;0;188;0;
149;Huntingdon;2014-04-07;G;Hemmingford, ct;1;;76;251;74;0;0;14;14;10;1;113;0;
149;Huntingdon;2014-04-07;G;Hemmingford, ct;1;;77;318;95;0;0;26;28;5;0;154;3;
149;Huntingdon;2014-04-07;G;Hemmingford, ct;1;;78;325;80;1;1;21;33;12;0;148;0;
149;Huntingdon;2014-04-07;G;Hemmingford, ct;1;;79;287;73;0;0;29;48;7;2;159;1;
149;Huntingdon;2014-04-07;G;Hemmingford, ct;1;;80;249;79;0;0;16;23;10;0;128;3;
149;Huntingdon;2014-04-07;G;Hemmingford, vl;1;;81;283;96;0;1;13;21;2;0;133;2;
149;Huntingdon;2014-04-07;G;Hemmingford, vl;1;;82;269;91;2;1;6;14;2;0;116;0;
149;Huntingdon;2014-04-07;G;Saint-Bernard-de-Lacolle, p;1;;83;269;76;2;1;27;39;10;0;155;0;
149;Huntingdon;2014-04-07;G;Saint-Bernard-de-Lacolle, p;1;;84;282;62;2;4;18;56;3;0;145;1;
149;Huntingdon;2014-04-07;G;Saint-Bernard-de-Lacolle, p;1;;85;304;72;0;1;40;65;10;0;188;4;
149;Huntingdon;2014-04-07;G;Saint-Bernard-de-Lacolle, p;1;;86;276;82;1;0;34;63;9;1;190;1;
149;Huntingdon;2014-04-07;G;Lacolle, m;1;;87;332;73;0;0;37;54;7;1;172;3;
149;Huntingdon;2014-04-07;G;Lacolle, m;1;;88;328;51;3;2;39;53;10;0;158;3;
149;Huntingdon;2014-04-07;G;Lacolle, m;1;;89;406;75;3;1;41;58;17;0;195;2;
149;Huntingdon;2014-04-07;G;Lacolle, m;1;;90;323;72;0;0;39;46;8;1;166;5;
149;Huntingdon;2014-04-07;G;Lacolle, m;1;;91;344;60;3;0;31;52;6;0;152;6;
149;Huntingdon;2014-04-07;G;Lacolle, m;1;;92;344;74;0;6;28;47;14;0;169;2;
149;Huntingdon;2014-04-07;G;Saint-Paul-de-l'Île-aux-Noix, m;1;;93;329;35;5;1;42;52;14;1;150;5;
149;Huntingdon;2014-04-07;G;Saint-Paul-de-l'Île-aux-Noix, m;1;;94;309;107;0;0;27;51;13;2;200;1;
149;Huntingdon;2014-04-07;G;Saint-Paul-de-l'Île-aux-Noix, m;1;;95;324;67;1;0;40;68;11;1;188;7;
149;Huntingdon;2014-04-07;G;Saint-Paul-de-l'Île-aux-Noix, m;1;;96;298;81;2;0;37;59;6;0;185;7;
149;Huntingdon;2014-04-07;G;Saint-Paul-de-l'Île-aux-Noix, m;1;;97;328;71;0;0;41;53;6;1;172;2;
149;Huntingdon;2014-04-07;G;Saint-Valentin, m;1;;98;190;43;1;0;26;45;5;0;120;3;
149;Huntingdon;2014-04-07;G;Saint-Valentin, m;1;;99;181;54;1;1;30;25;2;0;113;1;
149;Huntingdon;2014-04-07;G;Saint-Cyprien-de-Napierville, m;1;;100;326;73;1;1;35;62;8;0;180;4;
149;Huntingdon;2014-04-07;G;Saint-Cyprien-de-Napierville, m;1;;101;330;51;0;2;43;50;6;0;152;3;
149;Huntingdon;2014-04-07;G;Saint-Cyprien-de-Napierville, m;1;;102;354;51;2;2;48;12;67;0;182;8;
149;Huntingdon;2014-04-07;G;Saint-Cyprien-de-Napierville, m;1;;103;372;67;5;0;36;74;12;0;194;5;
149;Huntingdon;2014-04-07;G;Napierville, m;1;;104;304;56;2;0;34;55;9;1;157;2;
149;Huntingdon;2014-04-07;G;Napierville, m;1;;105;309;59;2;2;24;60;6;2;155;3;
149;Huntingdon;2014-04-07;G;Napierville, m;1;;106;346;68;1;4;51;67;8;3;202;7;
